texte,label
"Chargée de communication, bilingue anglais-espagnol, expérience ONG et secteur privé. (id 4593)",cv
"Chargée de communication, bilingue anglais-espagnol, expérience ONG et secteur privé. (id 9279)",cv
Ingénieur logiciel avec 7 ans d'expérience en Python et Java. Diplômé de l'INSA Lyon. Passionné par l'IA. (id 6514),cv
"Juriste d'entreprise, spécialité droit des contrats et propriété intellectuelle, 5 ans en startup. (id 9835)",cv
"CDI à pourvoir : UX Designer, maîtrise de Figma, portfolio exigé, environnement agile. (réf. 9317)",offre
"Chargée de communication, bilingue anglais-espagnol, expérience ONG et secteur privé. (id 6573)",cv
"Poste ouvert : analyste financier junior, formation assurée, diplôme grande école apprécié. (réf. 7216)",offre
Ingénieur logiciel avec 7 ans d'expérience en Python et Java. Diplômé de l'INSA Lyon. Passionné par l'IA. (id 6539),cv
"Comptable confirmé, 10 ans en cabinet d'expertise, maîtrise de Cegid et des normes IFRS. (id 1117)",cv
Nous recrutons un ingénieur DevOps. Expérience Kubernetes et CI/CD requise. Startup en forte croissance. (réf. 6925),offre
"Offre : Responsable RH, gestion de 200 collaborateurs, connaissance du droit social impérative. (réf. 5010)",offre
"Offre d'emploi : Chef de projet digital, 5 ans d'expérience minimum, secteur e-commerce, Paris 75008. (réf. 9423)",offre
Nous recrutons un ingénieur DevOps. Expérience Kubernetes et CI/CD requise. Startup en forte croissance. (réf. 8397),offre
"Juriste d'entreprise, spécialité droit des contrats et propriété intellectuelle, 5 ans en startup. (id 5386)",cv
"Offre : Responsable RH, gestion de 200 collaborateurs, connaissance du droit social impérative. (réf. 4510)",offre
"Chef de projet IT, certifié PMP, expérience en transformation digitale dans le secteur bancaire. (id 4750)",cv
"Technicien informatique, certifié CISCO CCNA, disponible immédiatement, mobilité nationale. (id 8428)",cv
"Profil polyvalent : marketing digital, gestion de communauté, création de contenu. 3 ans d'expérience. (id 8787)",cv
"Offre d'emploi : Chef de projet digital, 5 ans d'expérience minimum, secteur e-commerce, Paris 75008. (réf. 4483)",offre
"CDI à pourvoir : UX Designer, maîtrise de Figma, portfolio exigé, environnement agile. (réf. 8573)",offre
"Rejoignez notre cabinet comptable : poste de comptable senior, maîtrise de Sage, déplacements occasionnels. (réf. 3927)",offre
"Technicien informatique, certifié CISCO CCNA, disponible immédiatement, mobilité nationale. (id 1434)",cv
"CDI à pourvoir : UX Designer, maîtrise de Figma, portfolio exigé, environnement agile. (réf. 2133)",offre
"Développeur fullstack React/Node.js, freelance depuis 2 ans, disponible pour mission longue durée. (id 7543)",cv
Nous recrutons un ingénieur DevOps. Expérience Kubernetes et CI/CD requise. Startup en forte croissance. (réf. 9751),offre
"Nous recherchons un développeur Python expérimenté pour rejoindre notre équipe. CDI, télétravail partiel, salaire selon profil. (réf. 6820)",offre
"Rejoignez notre cabinet comptable : poste de comptable senior, maîtrise de Sage, déplacements occasionnels. (réf. 7482)",offre
"Recherche commercial terrain BtoB, véhicule de fonction fourni, variable attractif, secteur PACA. (réf. 3677)",offre
Nous recrutons un ingénieur DevOps. Expérience Kubernetes et CI/CD requise. Startup en forte croissance. (réf. 9317),offre
